B_quarter_MeV,Delta_MeV,m_s_MeV,mu_trans_MeV,n_trans_over_n0
145,10,95,942.3177897237155,1.7879162775614381
145,10,120,NaN,NaN
145,10,150,NaN,NaN
145,50,95,952.6190773846731,1.8471953712394764
145,50,120,947.7259657457182,1.8188770645781913
145,50,150,NaN,NaN
145,100,95,972.7065883235405,1.966530019153877
145,100,120,969.6162020252532,1.9478459175843013
145,100,150,964.4655581947743,1.9169693883847716
160,10,95,NaN,NaN
160,10,120,NaN,NaN
160,10,150,NaN,NaN
160,50,95,NaN,NaN
160,50,120,NaN,NaN
160,50,150,NaN,NaN
160,100,95,954.4218027253406,1.8577020624847382
160,100,120,949.7862232779097,1.8307650181779325
160,100,150,NaN,NaN
180,10,95,NaN,NaN
180,10,120,NaN,NaN
180,10,150,NaN,NaN
180,50,95,NaN,NaN
180,50,120,NaN,NaN
180,50,150,NaN,NaN
180,100,95,NaN,NaN
180,100,120,NaN,NaN
180,100,150,NaN,NaN
