profile,A,w,alpha,x_match,q,compactness_2M_over_R,f_in_match,f_out_match,metric_jump_abs,df_jump_proxy,rho_boundary,pr_boundary,pt_boundary,thin_shell_warning
untapered,0.5,0.3,0.0,2.9994048809761953,2,0.1297156504303038,0.8702843495696961,0.8702843495696961,0.0,0.018303406234110753,0.012204685324160894,0.003661405597248268,0.003661405597248268,True
tapered,0.5,0.3,0.0,2.9994048809761953,2,0.07620504616463337,0.9237949538353666,0.9237949538353666,0.0,7.99940380602493e-09,1.9207267211918416e-09,5.762180163575524e-10,5.762180163575524e-10,False
untapered,0.5,0.3,0.0,4.0004034126825365,2,0.10760673918061453,0.8923932608193854,0.8923932608193854,0.0,0.007779761723497813,0.0038894873839827875,0.0011668462151948362,0.0011668462151948362,True
tapered,0.5,0.3,0.0,4.0004034126825365,2,0.07237721844849082,0.9276227815515092,0.9276227815515092,0.0,3.0894398150849156e-10,0.0,0.0,0.0,False
untapered,0.5,0.3,0.0,5.000201706341268,2,0.09107559897893595,0.9089244010210641,0.9089244010210641,0.0,0.00399312877112834,0.0015971867554377295,0.00047915602663131885,0.00047915602663131885,True
tapered,0.5,0.3,0.0,5.000201706341268,2,0.06646117491796559,0.9335388250820345,0.9335388250820345,0.0,1.5933210306684487e-10,0.0,0.0,0.0,False
untapered,1.0,0.3,0.0,2.9994048809761953,2,0.2594313008606076,0.7405686991393924,0.7405686991393924,0.0,0.036606812468221506,0.012204685324160894,0.003661405597248268,0.003661405597248268,True
tapered,1.0,0.3,0.0,2.9994048809761953,2,0.15241009232926675,0.8475899076707333,0.8475899076707333,0.0,1.5998693925212137e-08,1.9207267211918416e-09,5.762180163575524e-10,5.762180163575524e-10,False
untapered,1.0,0.3,0.0,4.0004034126825365,2,0.21521347836122906,0.7847865216387709,0.7847865216387709,0.0,0.015559523446938783,0.0038894873839827875,0.0011668462151948362,0.0011668462151948362,True
tapered,1.0,0.3,0.0,4.0004034126825365,2,0.14475443689698164,0.8552455631030184,0.8552455631030184,0.0,6.178879630169831e-10,0.0,0.0,0.0,False
untapered,1.0,0.3,0.0,5.000201706341268,2,0.1821511979578719,0.8178488020421281,0.8178488020421281,0.0,0.007986257542370367,0.0015971867554377295,0.00047915602663131885,0.00047915602663131885,True
tapered,1.0,0.3,0.0,5.000201706341268,2,0.13292234983593118,0.8670776501640688,0.8670776501640688,0.0,3.1866420613368973e-10,0.0,0.0,0.0,False
untapered,1.5,0.3,0.0,2.9994048809761953,2,0.3891469512909114,0.6108530487090886,0.6108530487090886,0.0,0.05491021870221857,0.012204685324160894,0.003661405597248268,0.003661405597248268,True
tapered,1.5,0.3,0.0,2.9994048809761953,2,0.22861513849390014,0.7713848615060999,0.7713848615060999,0.0,2.3998097731237067e-08,1.9207267211918416e-09,5.762180163575524e-10,5.762180163575524e-10,False
untapered,1.5,0.3,0.0,4.0004034126825365,2,0.32282021754184365,0.6771797824581565,0.6771797824581564,1.1102230246251565e-16,0.023339285170436597,0.0038894873839827875,0.0011668462151948362,0.0011668462151948362,True
tapered,1.5,0.3,0.0,4.0004034126825365,2,0.21713165534547246,0.7828683446545275,0.7828683446545275,0.0,9.267751011066139e-10,0.0,0.0,0.0,False
untapered,1.5,0.3,0.0,5.000201706341268,2,0.27322679693680785,0.7267732030631922,0.7267732030631922,0.0,0.011979386313555551,0.0015971867554377295,0.00047915602663131885,0.00047915602663131885,True
tapered,1.5,0.3,0.0,5.000201706341268,2,0.19938352475389678,0.8006164752461032,0.8006164752461032,0.0,4.780531526193954e-10,0.0,0.0,0.0,False
untapered,2.0,0.3,0.0,2.9994048809761953,2,0.5188626017212152,0.48113739827878477,0.48113739827878477,0.0,0.07321362493638617,0.012204685324160894,0.003661405597248268,0.003661405597248268,True
tapered,2.0,0.3,0.0,2.9994048809761953,2,0.3048201846585335,0.6951798153414666,0.6951798153414666,0.0,3.1997387850424275e-08,1.9207267211918416e-09,5.762180163575524e-10,5.762180163575524e-10,False
untapered,2.0,0.3,0.0,4.0004034126825365,2,0.4304269567224581,0.5695730432775419,0.5695730432775419,0.0,0.03111904689393441,0.0038894873839827875,0.0011668462151948362,0.0011668462151948362,True
tapered,2.0,0.3,0.0,4.0004034126825365,2,0.2895088737939633,0.7104911262060367,0.7104911262060367,0.0,1.235832769452827e-09,0.0,0.0,0.0,False
untapered,2.0,0.3,0.0,5.000201706341268,2,0.3643023959157438,0.6356976040842561,0.6356976040842561,0.0,0.015972515084740735,0.0015971867554377295,0.00047915602663131885,0.00047915602663131885,True
tapered,2.0,0.3,0.0,5.000201706341268,2,0.26584469967186236,0.7341553003281376,0.7341553003281376,0.0,6.373284122673795e-10,0.0,0.0,0.0,False
